,Recipt,,,,,amount_recevied,,,To_recevie,mode,,,,,,,,,,,,event,,,
1,2018PM0071,1,512,3,141,125000,,0,96000,cash,,,,,,,Amount Paid,,512,0,,,2018-06-28,0,
2,2018PM0082,7,512,75,914,5500,,0,216000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-05-10,0,
3,2018PM0083,7,512,75,921,5500,,0,240000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-21,0,
4,2018PM0084,7,512,75,29,108000,,0,113500,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-05-25,0,
5,2018PM0085,7,512,75,921,239000,,0,1000,online,,,,,,RTGS,Amount Paid,,1314,0,,pending,2018-05-08,0,
6,2018PM0086,7,512,75,921,1000,,0,0,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-05-06,0,
7,2018PM0087,7,512,75,919,5500,,0,240000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-21,0,
8,2018PM0088,7,512,75,919,239900,,0,100,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-05-10,0,
9,2018PM0089,7,512,75,919,100,,0,0,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-05-10,0,
10,2018PM00810,7,512,75,1333,54000,,0,167500,online,,,,,,UTBIN18164631159,Amount Paid,,1314,0,,paid,2018-06-13,0,
11,2018PM00811,7,512,75,913,132000,,0,132000,cash,,,,,,,Amount Paid,,1314,0,,pending,2018-06-28,0,
12,2018PM00812,7,512,75,914,108000,,0,108000,online,,,,,,46285958,Amount Paid,,1314,0,,paid,2018-05-29,0,
13,2018PM00813,7,512,75,30,500,,0,245000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-27,0,
14,2018PM00814,7,512,75,325,60000,,0,161500,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-06-21,0,
15,2018PM00815,7,512,75,325,500,,0,161000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-27,0,
16,2018PM00816,7,512,75,21,5500,,0,216000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-19,0,
17,2018PM00817,7,512,75,170,5500,,0,216000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-17,0,
18,2018PM00818,7,512,75,170,54000,,0,162000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-05-25,0,
19,2018PM00819,7,512,75,29,5500,,0,108000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-13,0,
20,2018PM00820,7,512,75,917,5500,,0,216000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-04-19,0,
21,2018PF00221,33,58,0,1022,5500,,0,204000,cash,,,,,,,Amount Paid,,1314,0,,paid,2018-05-07,0,
22,2018PF00222,33,58,0,483,5500,,0,204000,cash,,,,,,,Amount Paid,,1314,0,,,2018-05-07,0,
23,2018PF00423,16,512,0,312,72000,,0,89500,cheque,38172,,2018-05-10,,,,Amount Paid,,1314,0,,paid,2018-05-10,0,
24,2018PF00424,16,512,0,1072,36000,,0,119500,online,,,,,,211070869,Amount Paid,,1314,0,,pending,2018-06-12,0,
25,2018PF00425,16,512,0,1076,43200,,0,112300,online,,,,,,PF004/303A,Amount Paid,,1314,0,,paid,2018-06-25,0,
26,2018PF00426,16,512,0,1077,75000,,0,80500,cash,,,,,,,Amount Paid,,1314,0,,,2018-06-25,0,
27,2018PM00227,72,611,1318,974,5500,,0,240000,paytm,,,,19346875526,NULL,NULL,Amount Paid,,1314,0,,paid,2018-06-20,0,
